Area,Item,Year,Rainfall,Pesticides,Temperature,Rainfall_Category,Temperature_Band,Pesticide_Category,Rainfall_Temp_Index,Pesticide_Efficiency,Log_Pesticides
Canada,Wheat,1997,537.0,38258.2,6.72,Low,Cold,High,3608.64,0.5563367765138842,10.55213933320951
New Zealand,Wheat,2013,1732.0,5086.0,13.57,High,Cool,Medium,23503.24,17.89915470807942,8.534443544822764
Turkey,Wheat,2005,593.0,40332.0,19.44,Low,Cool,High,11527.92,0.5779138670567525,10.604925271413808
India,Wheat,2007,1083.0,27422.77,26.0,Moderate,Warm,High,28158.0,0.9874280596723207,10.219165434547868
Bulgaria,Maize,2000,608.0,2876.0,9.9,Low,Cold,Medium,6019.2,5.992005561348627,7.964503363551548
India,"Rice, paddy",1997,1083.0,52279.0,26.38,Moderate,Warm,Very High,28569.539999999997,0.5443190512624331,10.864369167738158
Brazil,Potatoes,2011,1761.0,111654.5,27.29,High,Warm,Very High,48057.689999999995,2.0637227901894666,11.62317351713876
Pakistan,Wheat,1992,494.0,5518.0,18.34,Very Low,Cool,Medium,9059.96,3.6075375973908317,8.615951963439501
Jamaica,"Rice, paddy",2005,2051.0,909.71,27.34,Very High,Warm,Low,56074.34,32.94133148861877,6.814224515077888
Mauritania,Yams,1992,92.0,39.09,27.52,Very Low,Warm,Low,2531.84,1746.071339486156,3.6911269266544156
Iraq,Soybeans,2004,216.0,828.62,20.0,Very Low,Cool,Low,4320.0,12.053711337720884,6.720967764628582
Angola,Potatoes,1995,1010.0,336.0,24.56,Moderate,Warm,Low,24805.6,227.7091988130564,5.820082930352362
Guinea,"Rice, paddy",1995,1651.0,153.0,27.23,High,Warm,Low,44956.73,111.18181818181819,5.0369526024136295
Saudi Arabia,Wheat,2013,59.0,5412.5,27.78,Very Low,Warm,Medium,1639.02,11.883808996028447,8.596651112750953
Iraq,"Rice, paddy",1991,216.0,692.0,23.21,Very Low,Warm,Low,5013.360000000001,31.757575757575758,6.541029999189903
Angola,"Rice, paddy",2005,1010.0,40.0,24.41,Moderate,Warm,Low,24654.1,170.17073170731706,3.713572066704308
Mali,Sorghum,2006,282.0,11.87,27.62,Very Low,Warm,Low,7788.84,652.1367521367522,2.554899021608035
Niger,Potatoes,2007,151.0,30.57,29.85,Very Low,Warm,Low,4507.35,4668.831168831169,3.4522073025699003
Nicaragua,Sorghum,1997,2280.0,3207.4,27.43,Very High,Warm,Medium,62540.4,5.06482982171799,8.07352764949277
Central African Republic,Potatoes,2004,1342.0,22.87,25.67,Moderate,Warm,Low,34449.14,850.7750314201927,3.1726224403507386
Romania,Maize,2012,637.0,6418.7,12.33,Low,Cool,Medium,7854.21,3.4067012477218563,8.767126666620213
Cameroon,Sorghum,2008,1604.0,882.13,25.42,High,Warm,Low,40773.68,16.218450284782534,6.783472415135432
Turkey,"Rice, paddy",1995,593.0,27328.0,10.93,Low,Cool,High,6481.49,1.8312049471257639,10.215703688424663
Saudi Arabia,Wheat,2012,59.0,4996.2,26.83,Very Low,Warm,Medium,1582.9699999999998,11.857440166493237,8.516633034557675
Ecuador,Sweet potatoes,1997,2274.0,7612.0,23.0,Very High,Warm,Medium,52302.0,5.089977669775384,8.937612591306213
Brazil,Sweet potatoes,1998,1761.0,111654.5,26.08,High,Warm,Very High,45926.88,0.9307915866213488,11.62317351713876
Ireland,Wheat,2007,1118.0,3083.02,10.11,Moderate,Cool,Medium,11302.98,27.44015927263766,8.033989219746498
Dominican Republic,Plantains and others,2008,1410.0,5409.43,26.56,Moderate,Warm,Medium,37449.6,17.552579000190374,8.596083851121891
India,Cassava,2007,1083.0,27422.77,25.66,Moderate,Warm,High,27789.78,8.40241877757872,10.219165434547868
Zambia,Sweet potatoes,2002,1020.0,1670.0,21.55,Moderate,Warm,Medium,21981.0,11.950329144225014,7.421177528595393
India,Maize,1993,1083.0,66388.0,25.66,Moderate,Warm,Very High,27789.78,0.2412297217912606,11.103286659090351
South Africa,Wheat,1999,495.0,26098.8,16.09,Very Low,Cool,High,7964.55,0.9247963585927862,10.169682930446177
Mali,Wheat,2006,282.0,11.87,27.62,Very Low,Warm,Low,7788.84,1866.744366744367,2.554899021608035
Suriname,"Rice, paddy",1998,2331.0,151.33,27.65,Very High,Warm,Low,64452.149999999994,246.7078054224381,5.02604922014861
Italy,Sorghum,1991,832.0,88916.6,12.05,Low,Cool,Very High,10025.6,0.6195511349834003,11.395465377160575
Brazil,Maize,1990,1761.0,49695.0,20.29,High,Warm,Very High,35730.689999999995,0.3769921120412106,10.813679725948413
India,Wheat,2002,1083.0,42482.56,25.07,Moderate,Warm,High,27150.81,0.6501573785247753,10.656872456547575
Libya,Maize,1992,56.0,87.0,19.03,Very Low,Cool,Low,1065.68,143.48863636363637,4.477336814478207
Turkey,Wheat,2007,593.0,48715.51,19.82,Low,Cool,Very High,11753.26,0.4449210339574817,10.793773265992009
United Kingdom,Wheat,2010,1220.0,16770.87,8.4,Moderate,Cold,High,10248.0,4.57587615453733,9.72745835724702
Colombia,Soybeans,2002,3240.0,84023.26,27.77,Very High,Warm,Very High,89974.8,0.28087126265676127,11.338860845651817
Burkina Faso,Sorghum,1997,748.0,75.29,28.52,Low,Warm,Low,21332.96,89.18600078647266,4.334541868102138
Turkey,Wheat,1991,593.0,24343.0,13.21,Low,Cool,High,7833.530000000001,0.8744659875123234,10.100040691576806
Ecuador,Sorghum,2013,2274.0,6471.77,21.94,Very High,Warm,Medium,49891.560000000005,2.4113323971035583,8.775359425703504
India,Cassava,1995,1083.0,61257.0,25.55,Moderate,Warm,Very High,27670.65,3.7615658362989324,11.022849732122834
South Africa,"Rice, paddy",2004,495.0,26857.0,18.75,Very Low,Cool,High,9281.25,0.8987638692382158,10.198319007141121
Uruguay,Potatoes,1995,1300.0,2413.02,16.66,Moderate,Cool,Medium,21658.0,41.674468314264175,7.789048686627299
Rwanda,Cassava,2004,1212.0,159.54,19.93,Moderate,Cool,Low,24155.16,356.28503799676093,5.078543132703431
Nicaragua,Maize,2001,2280.0,3603.5,26.78,Very High,Warm,Medium,61058.4,3.673463725898183,8.189938343844632
Mexico,Cassava,2007,758.0,64501.28,22.18,Low,Warm,Very High,16812.44,1.9029559885324985,11.074455850996317
Dominican Republic,Plantains and others,1992,1410.0,4971.0,26.4,Moderate,Warm,Medium,37224.0,15.935036202735319,8.511577452630602
Turkey,Sorghum,2009,593.0,37651.15,11.63,Low,Cool,High,6896.59,1.3628969394841994,10.536145336511295
Belarus,Wheat,2005,618.0,8306.31,6.53,Low,Cold,Medium,4035.54,3.949774355356909,9.024891129067417
Brazil,Cassava,2010,1761.0,111654.5,27.56,High,Warm,Very High,48533.159999999996,1.249369713090712,11.62317351713876
Pakistan,Sweet potatoes,1999,494.0,20450.0,19.84,Very Low,Cool,High,9800.96,5.493081022932864,9.925787060030896
Kenya,Sorghum,2000,630.0,1998.0,16.73,Low,Cool,Medium,10539.9,3.329664832416208,7.6004023345004
Pakistan,Sorghum,1999,494.0,20450.0,19.84,Very Low,Cool,High,9800.96,0.3015500464524962,9.925787060030896
Australia,Sorghum,1998,534.0,37215.0,18.9,Low,Cool,High,10092.599999999999,0.5728987532244196,10.52449405531839
Germany,Soybeans,1993,700.0,25170.0,8.57,Low,Cold,High,5999.0,0.7945651742084144,10.13344781717726
Kenya,Cassava,1992,630.0,3469.0,16.34,Low,Cool,Medium,10294.2,29.527953890489915,8.151909872940905
India,Sweet potatoes,1995,1083.0,61257.0,24.64,Moderate,Warm,Very High,26685.12,1.3164484638741063,11.022849732122834
Mexico,"Rice, paddy",2001,758.0,31373.3,20.15,Low,Warm,High,15273.699999999999,1.3570342605253345,10.353744365428224
Indonesia,Soybeans,1990,2702.0,2432.0,25.37,Very High,Warm,Medium,68549.74,4.582408549116317,7.796880342783522
Kenya,Cassava,1991,630.0,3469.0,16.26,Low,Cool,Medium,10243.800000000001,28.818443804034583,8.151909872940905
Slovenia,Soybeans,1994,1162.0,944.0,11.33,Moderate,Cool,Low,13165.460000000001,11.640211640211641,6.851184927493743
Guatemala,Sweet potatoes,1995,1996.0,12004.33,19.98,High,Cool,Medium,39880.08,5.206020992342568,9.393105996823989
United Kingdom,Wheat,2008,1220.0,21596.68,9.82,Moderate,Cold,High,11980.4,3.834393323727363,9.98034118049626
India,"Rice, paddy",1996,1083.0,56114.0,23.81,Moderate,Warm,Very High,25786.23,0.5030027621847991,10.935158435450356
India,Wheat,2009,1083.0,28707.01,24.87,Moderate,Warm,High,26934.210000000003,1.012644206268564,10.264931456884861
Brazil,Wheat,2001,1761.0,111654.5,27.08,High,Warm,Very High,47687.88,0.1745368566707417,11.62317351713876
Saudi Arabia,Wheat,1990,59.0,994.0,25.7,Very Low,Warm,Low,1516.3,46.69447236180905,6.902742737158593
Japan,Yams,1995,1668.0,79821.18,15.32,High,Cool,Very High,25553.760000000002,2.476805319022858,11.287556689680539
Hungary,"Rice, paddy",1997,589.0,4445.0,9.89,Low,Cold,Medium,5825.21,7.486729644624382,8.399760094524142
Kazakhstan,Wheat,2000,250.0,3024.42,7.26,Very Low,Cold,Medium,1815.0,2.984048495746045,8.014805203802355
Mexico,Cassava,2008,758.0,61732.11,17.21,Low,Cool,Very High,13045.18,2.3258021505801345,11.030575694808979
Iraq,Sorghum,2005,216.0,873.01,19.96,Very Low,Cool,Low,4311.360000000001,11.155478770265786,6.7730918172376775
Chile,Sweet potatoes,2004,1522.0,9830.72,13.44,High,Cool,Medium,20455.68,7.416504945218131,9.193369172402598
Netherlands,Potatoes,1990,778.0,9729.0,10.63,Low,Cool,Medium,8270.140000000001,23.682014388489208,9.18296917518005
Italy,Maize,2001,832.0,75978.0,7.83,Low,Cold,Very High,6514.56,1.252122296950473,11.238212265296752
India,Potatoes,2006,1083.0,37423.0,26.37,Moderate,Warm,High,28558.710000000003,4.967935014963659,10.53006748882396
Jamaica,Cassava,1998,2051.0,909.71,27.8,Very High,Warm,Low,57017.8,210.76852126362948,6.814224515077888
Rwanda,"Rice, paddy",2013,1212.0,1841.5,19.93,Moderate,Cool,Medium,24155.16,28.961736770691996,7.5188786240634915
Egypt,"Rice, paddy",2001,51.0,5039.0,21.45,Very Low,Warm,Medium,1093.95,18.41924603174603,8.525161361065415
Kenya,Maize,2000,630.0,1998.0,16.73,Low,Cool,Medium,10539.9,7.20360180090045,7.6004023345004
Burundi,"Rice, paddy",1990,1274.0,92.08,21.15,Moderate,Warm,Low,26945.1,358.11130210571554,4.533459338434091
Australia,"Rice, paddy",2004,534.0,36276.0,17.87,Low,Cool,High,9542.58,2.2963585743032775,10.49893921062262
Uganda,Plantains and others,2010,1180.0,88.0,24.14,Moderate,Warm,Low,28485.2,539.3258426966293,4.48863636973214
Egypt,"Rice, paddy",2012,51.0,13991.0,22.48,Very Low,Warm,Medium,1146.48,6.810748999428244,9.546241016698438
Mauritius,Sweet potatoes,2010,2041.0,731.46,24.67,Very High,Warm,Low,50351.47,155.83513092865138,6.596408731891645
Libya,Potatoes,2000,56.0,3277.13,19.59,Very Low,Cool,Medium,1097.04,61.010393120468066,8.095028416845654
Turkey,Wheat,2000,593.0,33471.0,12.03,Low,Cool,High,7133.79,0.6849904397705545,10.418464547424595
Australia,Sorghum,1999,534.0,34200.0,19.75,Low,Cool,High,10546.5,0.9419315224701033,10.440010162389305
India,Wheat,1994,1083.0,61357.0,24.29,Moderate,Warm,Very High,26306.07,0.3878222888620881,11.024480840985804
Ukraine,"Rice, paddy",2004,565.0,15344.4,8.32,Low,Cold,Medium,4700.8,2.4597599280566165,9.638571033836936
Malawi,Sorghum,1992,1181.0,173.19,20.89,Moderate,Warm,Low,24671.09,8.209426488317355,5.160146657489371
Dominican Republic,Maize,2007,1410.0,5689.8,27.08,Moderate,Warm,Medium,38182.799999999996,2.345891614535742,8.646606114777011
Madagascar,Cassava,1997,1513.0,139.89,19.97,High,Cool,Low,30214.609999999997,479.3952729079424,4.947979444065186
Dominican Republic,Cassava,1995,1410.0,3449.0,26.82,Moderate,Warm,Medium,37816.2,18.015652173913043,8.146129510025405
Central African Republic,"Rice, paddy",2012,1342.0,22.87,25.28,Moderate,Warm,Low,33925.76,1256.8077084206116,3.1726224403507386
Mexico,Maize,1995,758.0,34468.93,25.01,Low,Warm,High,18957.58,0.663853973593796,10.44784262875747
Ecuador,"Rice, paddy",1997,2274.0,7612.0,17.82,Very High,Cool,Medium,40522.68,4.712465519506108,8.937612591306213
Saudi Arabia,Maize,1995,59.0,994.0,25.64,Very Low,Warm,Low,1512.76,19.620100502512564,6.902742737158593
Bulgaria,Wheat,1996,608.0,3391.0,8.44,Low,Cold,Medium,5131.5199999999995,5.5477594339622645,8.129174996911793
Japan,Maize,1991,1668.0,79821.18,15.6,High,Cool,Very High,26020.8,0.3118932607453217,11.287556689680539
Turkey,"Rice, paddy",1991,593.0,24343.0,18.94,Low,Cool,High,11231.42,2.033560630956293,10.100040691576806
Lebanon,Maize,2002,661.0,1816.0,19.91,Low,Cool,Medium,13160.51,17.850853054485416,7.504942068396171
Egypt,Potatoes,1995,51.0,4391.0,21.56,Very Low,Warm,Medium,1099.56,48.09744990892532,8.387539983189367
Ecuador,Sweet potatoes,1990,2274.0,2537.0,21.82,Very High,Warm,Medium,49618.68,23.451536643026003,7.839131648274333
Brazil,Soybeans,1996,1761.0,101621.67,20.18,High,Warm,Very High,35536.979999999996,0.22133840805402968,11.529021919158
Niger,Potatoes,2012,151.0,21.37,29.61,Very Low,Warm,Low,4471.11,10300.670540902995,3.107720775502038
Azerbaijan,Maize,1992,447.0,148.68,10.93,Very Low,Cool,Low,4885.71,125.20042757883485,5.0084996819658345
Spain,Wheat,2011,636.0,53549.0,13.28,Low,Cool,Very High,8446.08,0.6437908496732027,10.888371075875895
Burundi,Potatoes,1992,1274.0,92.08,21.31,Moderate,Warm,Low,27148.94,358.3691448216588,4.533459338434091
Mexico,"Rice, paddy",2007,758.0,64501.28,19.7,Low,Cool,Very High,14932.6,0.6439462294976239,11.074455850996317
Argentina,Cassava,2004,591.0,65003.34,18.11,Low,Cool,Very High,10703.01,1.5383588234262513,11.082209315879577
Japan,Sweet potatoes,1993,1668.0,79821.18,14.93,High,Cool,Very High,24903.239999999998,2.4417524051585664,11.287556689680539
Japan,Soybeans,2008,1668.0,58750.0,13.31,High,Cool,Very High,22201.08,0.3028203775254889,10.981063453138141
Pakistan,Wheat,2006,494.0,6925.13,26.73,Very Low,Warm,Medium,13204.62,3.636374136783456,8.843056494638944
Brazil,Cassava,1998,1761.0,111654.5,22.35,High,Warm,Very High,39358.350000000006,1.1062777919583002,11.62317351713876
Ghana,"Rice, paddy",2000,1187.0,81.63,26.83,Moderate,Warm,Low,31847.21,261.2731453467264,4.414372810713093
Finland,Potatoes,1996,536.0,909.0,4.2,Low,Cold,Low,2251.2000000000003,241.7901098901099,6.813444599510896
Rwanda,Cassava,1992,1212.0,97.0,19.54,Moderate,Cool,Low,23682.48,266.3265306122449,4.584967478670572
Madagascar,Sorghum,1999,1513.0,49.52,19.82,High,Cool,Low,29987.66,133.0166270783848,3.9223692974822906
India,Wheat,1991,1083.0,72133.0,25.85,Moderate,Warm,Very High,27995.550000000003,0.3162724928605096,11.186280779387824
Pakistan,Soybeans,2012,494.0,990.09,18.74,Very Low,Cool,Low,9257.56,7.972030794377907,6.898805347562547
Indonesia,Potatoes,2011,2702.0,1597.0,25.38,Very High,Warm,Low,68576.76,99.85106382978724,7.37650812632622
Dominican Republic,Sweet potatoes,1991,1410.0,4971.0,26.43,Moderate,Warm,Medium,37266.3,13.84271922767498,8.511577452630602
India,"Rice, paddy",1997,1083.0,52279.0,25.21,Moderate,Warm,Very High,27302.43,0.5443190512624331,10.864369167738158
Rwanda,Sorghum,1995,1212.0,188.2,19.81,Moderate,Cool,Low,24009.719999999998,60.893234672304445,5.2428046566177775
India,Soybeans,1996,1083.0,56114.0,25.9,Moderate,Warm,Very High,28049.699999999997,0.1838902254299207,10.935158435450356
Nicaragua,Plantains and others,2000,2280.0,3925.63,26.73,Very High,Warm,Medium,60944.4,25.467130847571582,8.275536830633088
Tunisia,Sorghum,1990,207.0,909.0,19.34,Very Low,Cool,Low,4003.38,4.70989010989011,6.813444599510896
Nicaragua,Soybeans,1997,2280.0,3207.4,27.43,Very High,Warm,Medium,62540.4,6.6491085899513775,8.07352764949277
Australia,Maize,1999,534.0,34200.0,19.75,Low,Cool,High,10546.5,1.4973831174527061,10.440010162389305
Nicaragua,Cassava,2000,2280.0,3925.63,26.73,Very High,Warm,Medium,60944.4,27.589306861099722,8.275536830633088
Ghana,Sorghum,2011,1187.0,378.97,27.11,Moderate,Warm,Low,32179.57,31.028765428849646,5.940092302235503
Malawi,Sorghum,2009,1181.0,736.25,20.68,Moderate,Warm,Low,24423.079999999998,10.807731434384538,6.602927047695386
Mexico,Cassava,1998,758.0,34468.93,25.14,Low,Warm,High,19056.12,3.3955972640501444,10.44784262875747
India,Sweet potatoes,2009,1083.0,28707.01,26.92,Moderate,Warm,High,29154.36,3.137800216733936,10.264931456884861
Uganda,"Rice, paddy",2012,1180.0,88.0,24.03,Moderate,Warm,Low,28355.4,258.91011235955057,4.48863636973214
India,Soybeans,2010,1083.0,40093.69,26.82,Moderate,Warm,High,29046.06,0.3324629770176549,10.598999185573879
Indonesia,Potatoes,2006,2702.0,1597.0,27.21,Very High,Warm,Low,73521.42,105.98435544430538,7.37650812632622
Iraq,Potatoes,1993,216.0,692.0,18.75,Very Low,Cool,Low,4050.0,252.14862914862914,6.541029999189903
Japan,Wheat,1998,1668.0,79821.18,13.74,High,Cool,Very High,22918.32,0.43986521039640863,11.287556689680539
India,Maize,2007,1083.0,27422.77,25.95,Moderate,Warm,High,28103.85,0.8515240610608972,10.219165434547868
Japan,Maize,1994,1668.0,79821.18,16.06,High,Cool,Very High,26788.079999999998,0.3113420355094286,11.287556689680539
Kenya,Sweet potatoes,1997,630.0,5172.0,16.77,Low,Cool,Medium,10565.1,21.526966943746377,8.551208070003515
Papua New Guinea,Cassava,2011,3142.0,105.0,25.17,Very High,Warm,Low,79084.14,935.6509433962265,4.663439094112067
Uganda,Sorghum,2001,1180.0,88.0,23.47,Moderate,Warm,Low,27694.6,168.53932584269663,4.48863636973214
Kazakhstan,Soybeans,1997,250.0,8112.0,7.53,Very Low,Cold,Medium,1882.5,1.2874399112535437,9.001222992395064
Hungary,Sorghum,2006,589.0,11523.0,10.67,Low,Cool,Medium,6284.63,3.1290350572717807,9.35218709620442
Croatia,Soybeans,2004,1113.0,2174.0,10.06,Moderate,Cool,Medium,11196.78,9.905747126436781,7.684783943522785
Australia,Sorghum,1995,534.0,25598.0,13.14,Low,Cool,High,7016.76,0.7248330012891129,10.150308567204695
Bangladesh,Sorghum,1998,2666.0,2068.0,26.13,Very High,Warm,Medium,69662.58,3.818753020782987,7.634820677745543
India,Maize,1997,1083.0,52279.0,26.19,Moderate,Warm,Very High,28363.77,0.3272953328232594,10.864369167738158
India,Soybeans,2004,1083.0,35113.0,24.69,Moderate,Warm,High,26739.27,0.2586432761861366,10.466355190329153
Iraq,Sorghum,2009,216.0,1429.27,20.26,Very Low,Warm,Low,4376.160000000001,9.983429702084223,7.265618516620175
Brazil,Soybeans,2001,1761.0,111654.5,27.69,High,Warm,Very High,48762.090000000004,0.24275561884546665,11.62317351713876
Hungary,Sorghum,2009,589.0,11144.0,11.48,Low,Cool,Medium,6761.72,2.436967249887842,9.31874624581997
Dominican Republic,Cassava,1991,1410.0,4971.0,26.57,Moderate,Warm,Medium,37463.7,15.635559131134352,8.511577452630602
Nepal,Maize,2006,1500.0,128.73,15.92,Moderate,Cool,Low,23880.0,157.11092268557775,4.865455367582921
Turkey,Sorghum,2009,593.0,37651.15,19.94,Low,Cool,High,11824.42,1.3628969394841994,10.536145336511295
Australia,Sorghum,1990,534.0,17866.0,16.8,Low,Cool,High,8971.2,1.3926792410589355,9.790710714933168
Brazil,Soybeans,1997,1761.0,110276.11,20.77,High,Warm,Very High,36575.97,0.2083569291941002,11.610751658773312
Italy,Soybeans,2005,832.0,84647.0,7.33,Low,Cold,Very High,6098.56,0.4288701445988092,11.346256760583998
Denmark,Potatoes,1996,703.0,3672.0,7.31,Low,Cold,Medium,5138.929999999999,62.73509392866866,8.208764045819667
Australia,Maize,1998,534.0,37215.0,16.28,Low,Cool,High,8693.52,1.2775150472914876,10.52449405531839
Thailand,Sorghum,2011,1622.0,87191.0,27.56,High,Warm,Very High,44702.32,0.21144141664372879,11.375867862569148
Turkey,Wheat,2001,593.0,25539.0,15.11,Low,Cool,High,8960.23,0.8130383711824589,10.14800112958653
Burundi,Soybeans,1996,1274.0,207.1,21.18,Moderate,Warm,Low,26983.32,39.90869774147045,5.338018733399589
India,Potatoes,1996,1083.0,56114.0,26.64,Moderate,Warm,Very High,28851.12,3.0279426178383675,10.935158435450356
Australia,"Rice, paddy",1998,534.0,37215.0,12.46,Low,Cool,High,6653.64,2.5326741186586412,10.52449405531839
Chile,"Rice, paddy",2011,1522.0,9830.72,13.25,High,Cool,Medium,20166.5,5.278730476457833,9.193369172402598
Japan,Wheat,2001,1668.0,78735.45,15.97,High,Cool,Very High,26637.960000000003,0.4514554567801825,11.273861478391195
India,"Rice, paddy",2006,1083.0,37423.0,24.72,Moderate,Warm,High,26771.76,0.8486265498076101,10.53006748882396
Pakistan,Potatoes,2009,494.0,3957.61,25.37,Very Low,Warm,Medium,12532.78,51.24222896420713,8.283648232529051
Madagascar,Potatoes,1997,1513.0,139.89,19.97,High,Cool,Low,30214.609999999997,407.24678827454045,4.947979444065186
Australia,Sweet potatoes,2001,534.0,32710.0,12.29,Low,Cool,High,6562.86,7.04429702546544,10.39546669175574
Turkey,Potatoes,2012,593.0,42610.59,18.54,Low,Cool,High,10994.22,5.4075898130062745,10.659881560981992
Mauritania,Sweet potatoes,2001,92.0,39.09,28.28,Very Low,Warm,Low,2601.76,249.53853828885008,3.6911269266544156
Mexico,Potatoes,1990,758.0,34468.93,22.63,Low,Warm,High,17153.54,4.591132038852415,10.44784262875747
Japan,Yams,1992,1668.0,79821.18,15.68,High,Cool,Very High,26154.239999999998,2.3586050894626034,11.287556689680539
India,Sweet potatoes,2000,1083.0,44957.52,26.49,Moderate,Warm,High,28688.67,2.1669085192306152,10.713495565876292
Malaysia,Sweet potatoes,2005,2875.0,39406.48,27.59,Very High,Warm,High,79321.25,3.2076651437747348,10.581710924982964
Brazil,"Rice, paddy",2009,1761.0,111654.5,26.3,High,Warm,Very High,46314.3,0.39450810752717064,11.62317351713876
Honduras,Cassava,1991,1976.0,6289.7,24.61,High,Warm,Medium,48629.36,12.204683103629167,8.74682763126081
El Salvador,Maize,1995,1784.0,3475.08,26.05,High,Warm,Medium,46473.200000000004,6.320913212584291,8.153660501080166
Cameroon,Maize,2008,1604.0,882.13,25.42,High,Warm,Low,40773.68,22.646722453092977,6.783472415135432
Namibia,Wheat,2004,285.0,56.0,21.01,Very Low,Warm,Low,5987.85,730.2105263157895,4.04305126783455
Kenya,Soybeans,2007,630.0,1578.0,16.6,Low,Cool,Low,10458.0,5.319822672577581,7.364547014255642
Mexico,Sorghum,1991,758.0,34468.93,22.5,Low,Warm,High,17055.0,0.9049916840562194,10.44784262875747
Brazil,Wheat,1998,1761.0,111654.5,22.35,High,Warm,Very High,39358.350000000006,0.14429204114441294,11.62317351713876
Cameroon,Yams,1992,1604.0,1137.56,24.6,High,Warm,Low,39458.4,48.515668915120855,7.0375195850374155
Ecuador,Soybeans,2013,2274.0,6471.77,21.69,Very High,Warm,Medium,49323.060000000005,2.56227241196582,8.775359425703504
Chile,Wheat,1992,1522.0,15373.0,12.93,High,Cool,Medium,19679.46,2.1976713932613503,9.640433049909078
Croatia,Soybeans,2010,1113.0,1540.0,10.0,Moderate,Cold,Low,11130.0,17.652822842310187,7.340186835320115
Morocco,Sweet potatoes,1994,346.0,10992.57,17.88,Very Low,Cool,Medium,6186.48,14.068496402897331,9.30506583541266
Estonia,Potatoes,1997,626.0,200.0,5.95,Low,Cold,Low,3724.7000000000003,617.6766169154229,5.303304908059076
Spain,"Rice, paddy",1999,636.0,33614.0,17.14,Low,Cool,High,10901.04,2.2426892756210024,10.422727674903138
Portugal,Sweet potatoes,2011,854.0,14024.98,16.91,Low,Cool,Medium,14441.14,16.4285133730406,9.548666603172554
Kenya,Maize,1993,630.0,3469.0,16.36,Low,Cool,Medium,10306.8,4.480979827089337,8.151909872940905
India,"Rice, paddy",2006,1083.0,37423.0,25.78,Moderate,Warm,High,27919.74,0.8486265498076101,10.53006748882396
Iraq,"Rice, paddy",1994,216.0,692.0,20.02,Very Low,Warm,Low,4324.32,33.906204906204906,6.541029999189903
Cameroon,Soybeans,1994,1604.0,411.42,24.93,High,Warm,Low,39987.72,14.611318558750787,6.02204224757212
India,Cassava,2008,1083.0,14485.33,27.05,Moderate,Warm,Medium,29295.15,15.906444213268648,9.580960725111565
Pakistan,Soybeans,2005,494.0,7914.31,26.04,Very Low,Warm,Medium,12863.76,1.516049276654989,8.97655413768838
Peru,"Rice, paddy",2012,1738.0,18885.82,17.68,High,Cool,High,30727.84,4.12197500690958,9.84621960328563
Dominican Republic,Maize,2000,1410.0,5082.0,26.37,Moderate,Warm,Medium,37181.700000000004,2.4282903796970294,8.533656917446903
Senegal,"Rice, paddy",2007,686.0,557.92,25.34,Low,Warm,Low,17383.24,43.07951048450584,6.326006350212247
Indonesia,Cassava,1997,2702.0,1597.0,27.26,Very High,Warm,Low,73656.52,76.16896120150187,7.37650812632622
Brazil,Sorghum,2013,1761.0,111654.5,20.07,High,Warm,Very High,35343.270000000004,0.2401762564316133,11.62317351713876
